Date,Region,Commodity,Year,Month,WeekOfYear,DayOfWeek,DayOfYear,Temperature_C,Rainfall_mm,Humidity_pct,yhat_lkr
2026-01-05,Ampara,Asiatic Pennywort,2026,1,2,0,5,27.037,185.993,64.065,269.52902
2026-01-12,Ampara,Asiatic Pennywort,2026,1,3,0,12,31.693,133.589,65.282,281.55768
2026-01-19,Ampara,Asiatic Pennywort,2026,1,4,0,19,26.83020833333333,227.828125,72.75416666666666,288.156
2026-01-26,Ampara,Asiatic Pennywort,2026,1,5,0,26,26.924242424242426,205.3959595959596,81.43939393939394,247.13187
2026-02-02,Ampara,Asiatic Pennywort,2026,2,6,0,33,27.221,182.017,76.204,272.9487
2026-02-09,Ampara,Asiatic Pennywort,2026,2,7,0,40,27.249000000000002,105.069,72.76599999999999,282.93973
2026-02-16,Ampara,Asiatic Pennywort,2026,2,8,0,47,28.939,161.154,68.609,258.91162
2026-02-23,Ampara,Asiatic Pennywort,2026,2,9,0,54,29.357,187.767,68.955,287.23172
2026-03-02,Ampara,Asiatic Pennywort,2026,3,10,0,61,27.912,216.172,73.837,267.4376
2026-03-09,Ampara,Asiatic Pennywort,2026,3,11,0,68,27.84,177.886,77.325,265.04117
2026-03-16,Ampara,Asiatic Pennywort,2026,3,12,0,75,29.116999999999997,140.30700000000002,75.327,286.52844
2026-03-23,Ampara,Asiatic Pennywort,2026,3,13,0,82,28.436999999999998,111.47200000000001,70.755,291.05045
2026-03-30,Ampara,Asiatic Pennywort,2026,3,14,0,89,28.957000000000004,168.356,64.565,233.14272
2026-04-06,Ampara,Asiatic Pennywort,2026,4,15,0,96,28.505,147.224,65.296,224.35298
2026-04-13,Ampara,Asiatic Pennywort,2026,4,16,0,103,28.765,229.479,75.57600000000001,298.65698
2026-04-20,Ampara,Asiatic Pennywort,2026,4,17,0,110,28.04375,164.709375,76.97395833333333,269.5993
2026-04-27,Ampara,Asiatic Pennywort,2026,4,18,0,117,28.141414141414142,150.05757575757576,73.72020202020201,249.78601
2026-05-04,Ampara,Asiatic Pennywort,2026,5,19,0,124,28.416,149.14700000000002,67.967,259.04196
2026-05-11,Ampara,Asiatic Pennywort,2026,5,20,0,131,28.389,175.29,68.015,270.07953
2026-05-18,Ampara,Asiatic Pennywort,2026,5,21,0,138,28.447999999999997,187.808,66.635,296.51935
2026-05-25,Ampara,Asiatic Pennywort,2026,5,22,0,145,28.814,218.773,77.275,281.33646
2026-06-01,Ampara,Asiatic Pennywort,2026,6,23,0,152,28.71,199.886,75.93599999999999,275.61926
2026-06-08,Ampara,Asiatic Pennywort,2026,6,24,0,159,28.75,135.393,73.08099999999999,268.36356
2026-06-15,Ampara,Asiatic Pennywort,2026,6,25,0,166,27.383000000000003,180.77,64.561,235.5723
2026-06-22,Ampara,Asiatic Pennywort,2026,6,26,0,173,31.643,135.921,64.822,285.0499
2026-06-29,Ampara,Asiatic Pennywort,2026,6,27,0,180,26.979,218.77,71.98899999999999,274.96216
2026-07-06,Ampara,Asiatic Pennywort,2026,7,28,0,187,26.878,206.89,81.589,245.72304
2026-07-13,Ampara,Asiatic Pennywort,2026,7,29,0,194,27.156999999999996,188.622,76.117,269.79544
2026-07-20,Ampara,Asiatic Pennywort,2026,7,30,0,201,27.363541666666666,101.94895833333334,73.28541666666666,283.7404
2026-07-27,Ampara,Asiatic Pennywort,2026,7,31,0,208,28.7020202020202,156.96363636363637,68.6131313131313,268.87778
2026-08-03,Ampara,Asiatic Pennywort,2026,8,32,0,215,29.432,193.123,68.88900000000001,271.15305
2026-08-10,Ampara,Asiatic Pennywort,2026,8,33,0,222,28.198,207.59900000000002,72.89699999999999,280.61255
2026-08-17,Ampara,Asiatic Pennywort,2026,8,34,0,229,27.45,179.38400000000001,77.875,268.54803
2026-08-24,Ampara,Asiatic Pennywort,2026,8,35,0,236,29.169,152.155,75.515,256.14627
2026-08-31,Ampara,Asiatic Pennywort,2026,8,36,0,243,28.615,105.49,71.035,283.79782
2026-09-07,Ampara,Asiatic Pennywort,2026,9,37,0,250,28.635,169.07,65.051,249.26823
2026-09-14,Ampara,Asiatic Pennywort,2026,9,38,0,257,28.805,140.028,64.926,251.57295
2026-09-21,Ampara,Asiatic Pennywort,2026,9,39,0,264,28.680999999999997,236.69799999999998,74.22399999999999,306.2462
2026-09-28,Ampara,Asiatic Pennywort,2026,9,40,0,271,28.151,160.386,77.383,276.01413
