WeekStart,Region,Commodity,Price,Temperature_C,Rainfall_mm,Humidity_pct,Year,Month,WeekOfYear,DayOfWeek,DayOfYear
2019-12-30,Ampara,Asiatic Pennywort,223.05,34.4,384.0,69.3,2019,12,1,0,364
2020-01-06,Ampara,Asiatic Pennywort,116.48,23.3,146.8,56.5,2020,1,2,0,6
2020-01-13,Ampara,Asiatic Pennywort,143.67,37.4,9.3,53.9,2020,1,3,0,13
2020-01-20,Ampara,Asiatic Pennywort,217.52,26.3,246.0,76.5,2020,1,4,0,20
2020-01-27,Ampara,Asiatic Pennywort,128.79,25.2,198.9,81.4,2020,1,5,0,27
2020-02-03,Ampara,Asiatic Pennywort,235.2,25.0,188.0,81.2,2020,2,6,0,34
2020-02-10,Ampara,Asiatic Pennywort,158.07,20.1,49.7,82.6,2020,2,7,0,41
2020-02-17,Ampara,Asiatic Pennywort,120.6,35.5,43.0,83.0,2020,2,8,0,48
2020-02-24,Ampara,Asiatic Pennywort,283.99,25.0,396.2,78.7,2020,2,9,0,55
2020-03-02,Ampara,Asiatic Pennywort,458.86,32.9,53.0,73.9,2020,3,10,0,62
2020-03-09,Ampara,Asiatic Pennywort,305.75,36.2,276.2,75.4,2020,3,11,0,69
2020-03-16,Ampara,Asiatic Pennywort,161.77,29.0,33.3,79.6,2020,3,12,0,76
2020-03-23,Ampara,Asiatic Pennywort,483.24,30.7,63.9,82.1,2020,3,13,0,83
2020-03-30,Ampara,Asiatic Pennywort,211.34,28.6,66.5,60.6,2020,3,14,0,90
2020-04-06,Ampara,Asiatic Pennywort,334.02,24.1,108.1,53.3,2020,4,15,0,97
2020-04-13,Ampara,Asiatic Pennywort,457.24,33.7,210.0,60.0,2020,4,16,0,104
2020-04-20,Ampara,Asiatic Pennywort,158.85,24.0,193.1,84.8,2020,4,17,0,111
2020-04-27,Ampara,Asiatic Pennywort,118.4,29.1,284.2,61.8,2020,4,18,0,118
2020-05-04,Ampara,Asiatic Pennywort,63.01,29.8,145.4,79.6,2020,5,19,0,125
2020-05-11,Ampara,Asiatic Pennywort,313.11,20.1,156.6,77.3,2020,5,20,0,132
2020-05-18,Ampara,Asiatic Pennywort,374.39,29.0,263.8,58.0,2020,5,21,0,139
2020-05-25,Ampara,Asiatic Pennywort,426.16,36.4,81.3,57.3,2020,5,22,0,146
2020-06-01,Ampara,Asiatic Pennywort,151.13,28.5,121.9,92.6,2020,6,23,0,153
2020-06-08,Ampara,Asiatic Pennywort,223.05,34.4,384.0,69.3,2020,6,24,0,160
2020-06-15,Ampara,Asiatic Pennywort,116.48,23.3,146.8,56.5,2020,6,25,0,167
2020-06-22,Ampara,Asiatic Pennywort,143.67,37.4,9.3,53.9,2020,6,26,0,174
